# Sites in this file include:																	,,,,,,,,,,,,,,,,,
# USGS 14220500 LEWIS RIVER AT ARIEL, WA																	,,,,,,,,,,,,,,,,
# 																	,,,,,,,,,,,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data 																	,,,,,,,,,,,,,,,,,
# parameter_cd			ts_id	Location Name													,,,,,,,,,,,,,,,,,
# 00060	150403																,,,,,,,,,,,,,,,,,
#																	,,,,,,,,,,,,,,,,,
# Data heading explanations.																	,,,,,,,,,,,,,,,,,
# begin_yr_dt ... First complete year of data of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# end_yr_dt   ... Last complete year of data of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# max_va      ... Maximum of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# min_va      ... Minimum of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# mean_va     ... Mean of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p05_va      ... 05 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p10_va      ... 10 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p20_va      ... 20 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p25_va      ... 25 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p50_va      ... 50 percentile (median) of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p75_va      ... 75 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p80_va      ... 80 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p90_va      ... 90 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p95_va      ... 95 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
#																	,,,,,,,,,,,,,,,,,
#day,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va
#day,month_nu,day_nu,begin_yr,end_yr,Years Collected,Max daily mean year,max daily mean,min daily mean year,min daily mean,mean of daily mean values,10th,20th,25th,50th,75th,80th,90th
1,1,1,2000,2016,17,2009,12900,2014,2050,7030,2680,3060,4010,6100,10400,11300,12100
2,1,2,2000,2016,17,2009,13100,2014,2050,7090,2690,3030,3670,6150,10600,10900,12000
3,1,3,2000,2016,17,2012,11300,2014,2050,6960,2680,2980,4330,6920,9660,10000,10900
4,1,4,2000,2016,17,2007,11300,2014,2640,7000,2800,2970,4350,8030,9200,9870,10900
5,1,5,2000,2016,17,2010,11500,2016,2890,7120,2980,3330,4490,7770,9940,10200,11300
6,1,6,2000,2016,17,2009,19200,2001,3020,7890,3070,4850,5440,7270,10600,10900,13300
7,1,7,2000,2016,17,2009,35300,2001,3020,9420,3320,5990,6380,7600,10600,11400,16300
8,1,8,2000,2016,17,2009,33700,2001,3030,9970,3320,6570,7390,8830,11500,11500,16200
9,1,9,2000,2016,17,2009,20600,2001,3030,9140,3320,5690,5870,8720,11400,11500,17300
10,1,10,2000,2016,17,2006,26000,2001,3020,8680,3320,4490,4940,7550,10200,11200,17300
11,1,11,2000,2016,17,2006,29400,2005,2700,8670,2960,4170,5060,7560,9940,11000,16900
12,1,12,2000,2016,17,2006,29000,2005,2700,8680,2950,5200,6050,7140,10100,10700,15200
13,1,13,2000,2016,17,2006,29200,2005,2700,9080,2970,5210,5880,8520,11200,11500,15100
14,1,14,2000,2016,17,2006,23100,2005,2710,8710,2970,4990,5970,8540,10500,11300,15700
15,1,15,2000,2016,17,2006,13700,2005,2700,7940,2950,4950,5720,8610,9940,10000,12300
16,1,16,2000,2016,17,2011,31100,2001,3020,8960,3920,4510,4830,8510,9570,10300,17700
17,1,17,2000,2016,17,2011,30000,2001,2940,9090,4290,5320,5800,8590,9670,10700,17000
18,1,18,2000,2016,17,2011,20800,2001,2890,8940,4280,5530,5970,8110,10500,11800,15900
19,1,19,2000,2016,17,2006,14000,2001,2880,8230,3230,5460,5960,8030,10500,11000,13100
20,1,20,2000,2016,17,2012,11500,2001,2890,8080,3110,5340,5710,8790,10700,11000,11500
21,1,21,2000,2016,17,2012,11600,2001,2900,8070,4000,4850,5340,8590,11100,11200,11500
22,1,22,2000,2016,17,2016,11600,2001,2900,7840,4220,5070,5280,8650,10800,11100,11500
23,1,23,2000,2016,17,2016,11600,2001,2890,7510,3760,4840,5110,8020,10100,11100,11500
24,1,24,2000,2016,17,2012,11500,2001,2090,7320,3960,4710,4910,7750,9310,9980,11500
25,1,25,2000,2016,17,2012,11500,2001,1570,7040,2590,4510,4780,7440,8830,9800,11500
26,1,26,2000,2016,17,2012,11500,2001,1570,7310,2510,4510,4780,8060,10000,10800,11500
27,1,27,2000,2016,17,2003,14100,2001,1570,7560,2510,4510,5080,7190,10700,11300,12000
28,1,28,2000,2016,17,2003,14100,2001,1560,7510,2510,4520,4630,6970,11300,11500,12100
29,1,29,2000,2016,17,2003,16000,2001,1570,7440,2500,3760,4260,6760,11200,11300,12600
30,1,30,2000,2016,17,2003,16000,2001,1580,7390,2480,3070,3440,6730,10600,11000,15000
31,1,31,2000,2016,17,2003,36700,2001,1570,8680,2480,4110,4420,6730,10200,10800,17600
32,2,1,2000,2016,17,2003,42800,2001,1560,8930,2500,4500,5240,6480,9870,10700,18000
33,2,2,2000,2016,17,2003,19600,2001,1560,7740,3250,4730,5100,6730,9950,10300,12800
34,2,3,2000,2016,17,2003,13700,2001,1570,7510,3220,4590,4770,8290,9800,10000,13400
35,2,4,2000,2016,17,2006,14900,2001,1570,7010,2590,3380,4060,5710,9790,10000,11500
36,2,5,2000,2016,17,2006,11700,2001,1570,6600,2590,3390,4070,5540,8980,9410,10300
37,2,6,2000,2016,17,2006,11000,2001,1590,6430,2610,3380,3990,6470,8960,9710,10700
38,2,7,2000,2016,17,2006,11000,2001,1600,6480,2580,3310,3730,6480,9120,9540,10400
39,2,8,2000,2016,17,2006,10300,2001,1600,6420,2570,3310,4170,5940,9140,9240,9490
40,2,9,2000,2016,17,2013,10500,2001,1600,6530,2580,2940,3310,7510,8900,9070,9440
41,2,10,2000,2016,17,2013,9730,2001,1600,6430,2230,2940,3320,7500,8480,8780,9330
42,2,11,2000,2016,17,2011,10400,2001,1590,6230,1970,2940,3320,6130,9170,9360,9900
43,2,12,2000,2016,17,2016,11500,2001,1600,6450,2580,3370,3940,6360,8760,9400,10600
44,2,13,2000,2016,17,2016,11500,2001,1600,6180,2580,3370,4490,5980,7850,8550,10700
45,2,14,2000,2016,17,2016,11500,2001,1590,6370,2520,3360,4480,5980,8660,9090,10900
46,2,15,2000,2016,17,2016,11500,2001,1600,6300,2470,3350,4400,5930,8570,9080,10900
47,2,16,2000,2016,17,2016,11500,2001,1590,6460,2490,3930,4450,5950,8820,9070,10900
48,2,17,2000,2016,17,2016,11500,2001,1590,6580,2480,4290,4920,6620,8460,8730,11000
49,2,18,2000,2016,17,2016,11500,2001,1590,6620,2480,4160,4790,6620,8620,8880,11000
50,2,19,2000,2016,17,2014,10900,2001,1590,6140,2470,3700,4260,5930,7960,8500,10200
51,2,20,2000,2016,17,2014,10800,2001,1590,5880,2470,3130,3550,5890,7810,8260,9320
52,2,21,2000,2016,17,2014,11000,2001,1570,5850,2500,3520,4050,5910,7730,7900,9340
53,2,22,2000,2016,17,2012,10900,2001,1550,5740,2490,3440,4050,5700,7380,8160,9320
54,2,23,2000,2016,17,2012,11500,2001,1550,5730,2490,3420,4050,5650,7020,7760,9440
55,2,24,2000,2016,17,2012,11500,2001,1550,5840,2490,3420,4060,5880,7500,8020,9450
56,2,25,2000,2016,17,2012,11500,2001,1550,5940,2490,3400,4020,5970,7800,8350,9460
57,2,26,2000,2016,17,2012,11500,2001,1560,5860,2500,3410,4040,5930,7580,7910,9010
58,2,27,2000,2016,17,2012,11500,2001,1550,5660,2490,3440,3970,5720,6910,7230,8840
59,2,28,2000,2016,17,2012,11400,2001,1360,5840,2460,3380,4180,5360,7580,7950,8940
60,2,29,2000,2016,5,2012,11400,2008,2730,7540,,3600,4890,8220,9860,10800,
61,3,1,2000,2016,17,2012,11400,2001,1030,6070,2400,3500,4240,5430,7930,8730,11400
62,3,2,2000,2016,17,2012,11400,2001,1030,5850,2400,3340,3470,5440,7880,8720,11300
63,3,3,2000,2016,17,2016,11400,2001,1030,5680,2390,3050,3260,5450,7060,9090,11300
64,3,4,2000,2016,17,2014,14400,2001,1040,5850,2370,2860,3110,5400,6970,9250,12000
65,3,5,2000,2016,17,2014,16300,2001,1040,5900,2360,2870,3060,5390,6980,8930,12400
66,3,6,2000,2016,17,2014,16300,2001,1030,5620,2190,2810,3010,5430,6210,6860,12100
67,3,7,2000,2016,17,2014,21100,2001,1030,5650,2070,2730,2940,5350,5990,6800,11400
68,3,8,2000,2016,17,2014,21100,2001,1030,5970,2070,2690,2860,5570,7080,8170,13200
69,3,9,2000,2016,17,2014,25000,2001,1020,6300,2060,2640,2790,5200,8150,9360,14000
70,3,10,2000,2016,17,2014,19400,2001,1020,6050,2090,2740,2880,5030,8520,9920,13100
71,3,11,2000,2016,17,2011,11600,2001,1020,5550,2090,2750,2880,5050,8240,9850,11300
72,3,12,2000,2016,17,2011,11600,2001,1030,5680,2090,2910,2920,5000,7650,9310,11500
73,3,13,2000,2016,17,2003,12500,2001,1020,6170,2100,2620,2920,5740,9350,10400,11800
74,3,14,2000,2016,17,2011,11600,2001,1030,6430,1930,2560,2890,5750,11200,11300,11400
75,3,15,2000,2016,17,2011,11600,2001,1030,6370,1820,2570,2810,5740,11100,11300,11400
76,3,16,2000,2016,17,2011,11500,2001,1030,6220,1820,2570,2730,5760,10200,11100,11400
77,3,17,2000,2016,17,2011,11400,2001,1040,6120,1820,2570,2720,5710,10000,11100,11400
78,3,18,2000,2016,17,2012,11400,2001,1030,6060,1820,2700,2910,5650,9600,10400,11300
79,3,19,2000,2016,17,2012,11400,2001,1020,5820,1830,3030,3300,5620,8790,8950,10300
80,3,20,2000,2016,17,2012,11400,2001,1030,5600,1840,2940,3170,5480,7340,8020,11300
81,3,21,2000,2016,17,2012,11400,2001,1020,5490,2000,2840,2960,5260,7480,8350,11300
82,3,22,2000,2016,17,2003,11400,2001,1020,5430,2200,2740,3090,5090,6810,7680,11400
83,3,23,2000,2016,17,2003,11400,2001,1030,5290,2210,2740,3170,4870,7230,8110,9220
84,3,24,2000,2016,17,2003,11400,2001,1020,5100,2200,2740,3190,4790,6300,7080,8900
85,3,25,2000,2016,17,2003,11400,2001,1030,5260,2210,2690,2730,5320,6780,7610,9660
86,3,26,2000,2016,17,2003,11300,2001,1030,5430,2340,2740,3400,5040,6880,8090,11200
87,3,27,2000,2016,17,2007,11200,2001,1040,5820,2330,2750,3400,5310,8660,9260,10500
88,3,28,2000,2016,17,2005,11400,2001,1360,6020,2400,2760,3370,5440,8550,9710,11200
89,3,29,2000,2016,17,2005,11200,2001,1990,6210,2520,2750,3270,5730,8760,9140,11100
90,3,30,2000,2016,17,2005,11100,2001,2030,6520,2530,2760,3240,6000,9800,10600,11100
