# Sites in this file include:																	,,,,,,,,,,,,,,,,,
# USGS 14220500 LEWIS RIVER AT ARIEL,,,,,,,,,,,,,,,,,
# 																	,,,,,,,,,,,,,,,,,
# Explanation of Parameter Code and ts_id used in the Statistics Data 																	,,,,,,,,,,,,,,,,,
# parameter_cd			ts_id	Location Name													,,,,,,,,,,,,,,,,,
# 00060	150403																,,,,,,,,,,,,,,,,,
#																	,,,,,,,,,,,,,,,,,
# Data heading explanations.																	,,,,,,,,,,,,,,,,,
# begin_yr_dt ... First complete year of data of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# end_yr_dt   ... Last complete year of data of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# max_va      ... Maximum of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# min_va      ... Minimum of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# mean_va     ... Mean of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p05_va      ... 05 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p10_va      ... 10 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p20_va      ... 20 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p25_va      ... 25 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p50_va      ... 50 percentile (median) of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p75_va      ... 75 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p80_va      ... 80 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p90_va      ... 90 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
# p95_va      ... 95 percentile of daily mean values for this day.																	,,,,,,,,,,,,,,,,,
#																	,,,,,,,,,,,,,,,,,
#day,month_nu,day_nu,begin_yr,end_yr,count_nu,max_va_yr,max_va,min_va_yr,min_va,mean_va,p10_va,p20_va,p25_va,p50_va,p75_va,p80_va,p90_va
#day,month_nu,day_nu,begin_yr,end_yr,Years Collected,Max daily mean year,max daily mean,min daily mean year,min daily mean,mean of daily mean values,10th,20th,25th,50th,75th,80th,90th
1,1,1,2000,2016,13,2009,7.87,2014,2.24,5.23,2.54,3.85,4.08,5.13,6.77,7.18,7.71
2,1,2,2000,2016,13,2009,7.96,2014,2.24,5.22,2.39,2.92,3.5,4.84,7.02,7.12,7.64
3,1,3,2000,2016,13,2012,7.12,2014,2.24,5.16,2.37,2.91,3.76,5.3,6.61,6.78,7.08
4,1,4,2000,2016,13,2007,7.23,2016,2.56,5.19,2.59,2.92,3.77,5.66,6.39,6.7,7.03
5,1,5,2000,2016,13,2010,7.3,2016,2.56,5.17,2.69,3.29,3.94,5.53,6.63,6.85,7.27
6,1,6,2000,2016,13,2009,10.06,2016,2.68,5.67,3,4.23,4.45,5.32,7.03,7.25,9
7,1,7,2000,2016,13,2009,15.22,2016,2.89,6.33,3.55,4.7,4.8,5.47,7.23,7.3,12.16
8,1,8,2000,2016,13,2009,14.74,2016,2.89,6.6,3.55,5.13,5.36,6.13,7.22,7.29,11.87
9,1,9,2000,2016,13,2009,10.74,2016,2.89,6.23,3.55,4.58,4.7,6.02,7.18,7.63,10.14
10,1,10,2000,2016,13,2006,12.48,2016,2.89,5.98,3.33,4.22,4.4,5.42,6.54,7.33,10.99
11,1,11,2000,2016,13,2006,13.55,2005,2.9,6.01,3.04,4.26,4.55,5.44,6.55,7.06,11.43
12,1,12,2000,2016,13,2006,13.4,2005,2.9,6.08,3.54,4.51,4.73,5.95,6.64,6.83,10.85
13,1,13,2000,2016,13,2006,13.46,2005,2.9,6.34,3.55,4.86,5.05,6.05,7.09,7.17,10.98
14,1,14,2000,2016,13,2006,11.46,2005,2.91,6.16,3.48,4.78,4.91,5.87,6.87,7.46,10.12
15,1,15,2000,2016,13,2006,8.21,2005,2.9,5.89,3.6,4.99,5.16,6.1,6.53,6.73,7.92
16,1,16,2000,2016,13,2011,13.97,2005,3.74,6.36,3.89,4.38,4.6,6.1,6.69,7.5,11.78
17,1,17,2000,2016,13,2011,13.62,2009,4.42,6.48,4.47,4.72,4.92,5.99,6.82,7.45,11.46
